Model,ROC_AUC,Accuracy,F1_Score,CV_AUC
Logistic Regression,0.805541240655233,0.73,0.5315068493150685,0.7998652691686438
K-Nearest Neighbors,0.7826895063764292,0.8363157894736842,0.4959481361426256,0.7593399010664577
Decision Tree,0.8296658558707123,0.7147368421052631,0.5343642611683849,0.8199350836933063
Random Forest,0.8469038588390501,0.8631578947368421,0.5578231292517006,0.8421988121172028
AdaBoost,0.8439028831354443,0.8510526315789474,0.5243697478991597,0.8408365623783969
Gradient Boosting,0.8582618733509235,0.8642105263157894,0.5770491803278689,0.8580011104008098
